                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0534,                 2.8847,                 1.5121,                0.06561,                0.15147,                0.06678,                0.02828,                 2.3651,                 2.2571,                 1.2648,               0.070037,              0.0033292,              0.0033292
                      2,                 2.3128,                 2.1997,                 1.2077,                 0.1917,                0.13976,                0.08567,                 0.0423,                 2.1239,                 1.8618,                 1.1359,               0.039817,              0.0064427,              0.0064427
                      3,                 2.1511,                 2.0144,                  1.162,                0.12296,                0.12554,                0.08782,                0.04333,                 2.0538,                 1.9422,                 1.1374,              0.0093774,              0.0093362,              0.0093362
                      4,                  2.056,                 1.9044,                 1.1324,                0.18923,                0.13315,                0.11148,                0.05652,                 1.9473,                 1.7183,                 1.0718,                0.00901,                0.00901,                0.00901
                      5,                 1.9877,                 1.8172,                 1.1149,                0.38136,                0.16423,                0.12158,                0.06058,                 1.8748,                 1.6296,                 1.0904,                0.00868,                0.00868,                0.00868
                      6,                 1.9631,                 1.7744,                 1.1038,                0.28727,                0.15262,                0.12036,                0.06744,                 1.8532,                 1.6573,                 1.0377,                0.00835,                0.00835,                0.00835
                      7,                 1.9036,                 1.7218,                 1.0891,                0.25419,                 0.1696,                0.14455,                0.07712,                 1.8064,                 1.4977,                 1.0457,                0.00802,                0.00802,                0.00802
                      8,                 1.8837,                 1.6809,                 1.0781,                0.23897,                0.17877,                0.15188,                0.08088,                 1.7763,                 1.4687,                  1.015,                0.00769,                0.00769,                0.00769
                      9,                 1.8509,                   1.64,                 1.0678,                0.27607,                0.18865,                0.16198,                0.08732,                 1.7379,                 1.4264,                 1.0142,                0.00736,                0.00736,                0.00736
                     10,                 1.8391,                 1.6247,                 1.0651,                0.24415,                0.19848,                0.16414,                 0.0885,                 1.7185,                 1.4231,                 1.0101,                0.00703,                0.00703,                0.00703
                     11,                 1.8206,                  1.599,                 1.0626,                 0.2528,                0.20304,                0.16157,                0.08701,                 1.7017,                 1.4018,                  1.007,                 0.0067,                 0.0067,                 0.0067
                     12,                 1.8037,                  1.573,                 1.0554,                0.35653,                 0.1975,                0.17617,                0.09391,                 1.7038,                 1.3948,                 1.0043,                0.00637,                0.00637,                0.00637
                     13,                 1.7871,                 1.5662,                 1.0497,                0.26736,                0.22323,                0.18299,                0.10151,                  1.658,                  1.363,                0.99411,                0.00604,                0.00604,                0.00604
                     14,                 1.7722,                 1.5339,                 1.0468,                0.28114,                0.21345,                0.18473,                0.10106,                 1.6755,                 1.3455,                0.99766,                0.00571,                0.00571,                0.00571
                     15,                 1.7619,                 1.5222,                 1.0434,                0.29234,                0.20337,                0.18379,                0.10138,                 1.6515,                 1.3682,                0.99398,                0.00538,                0.00538,                0.00538
                     16,                 1.7525,                 1.5065,                 1.0392,                0.28501,                0.21201,                0.19232,                0.10686,                 1.6466,                 1.3284,                 0.9878,                0.00505,                0.00505,                0.00505
                     17,                 1.7382,                 1.4832,                 1.0337,                0.30029,                0.22412,                0.20103,                0.10929,                 1.6455,                 1.2949,                0.98882,                0.00472,                0.00472,                0.00472
                     18,                 1.7143,                 1.4589,                 1.0304,                0.31711,                0.22714,                0.20179,                0.11153,                 1.5983,                 1.2814,                0.98346,                0.00439,                0.00439,                0.00439
                     19,                 1.7148,                 1.4479,                 1.0251,                0.29587,                0.23137,                0.20814,                0.11407,                 1.6052,                   1.27,                0.98368,                0.00406,                0.00406,                0.00406
                     20,                 1.6988,                 1.4401,                 1.0218,                0.29706,                0.22633,                0.21173,                0.11631,                 1.5931,                 1.2525,                0.97645,                0.00373,                0.00373,                0.00373
                     21,                 1.6246,                 1.3401,                 0.9977,                0.32123,                0.22905,                0.21211,                0.11701,                 1.5731,                 1.2519,                0.97355,                 0.0034,                 0.0034,                 0.0034
                     22,                 1.6136,                  1.325,                 0.9941,                0.32551,                0.23481,                0.22084,                0.12413,                 1.5655,                 1.2329,                0.96931,                0.00307,                0.00307,                0.00307
                     23,                 1.6054,                 1.3097,                0.99062,                 0.3278,                0.24933,                 0.2307,                0.12759,                 1.5471,                 1.2067,                0.96549,                0.00274,                0.00274,                0.00274
                     24,                    1.6,                 1.2906,                 0.9847,                0.35077,                0.23847,                0.22966,                0.12724,                 1.5469,                 1.2086,                 0.9626,                0.00241,                0.00241,                0.00241
                     25,                 1.5848,                 1.2794,                0.98697,                0.35925,                0.24661,                0.22866,                 0.1285,                 1.5305,                 1.1916,                0.96471,                0.00208,                0.00208,                0.00208
                     26,                  1.572,                 1.2555,                0.97922,                0.33856,                0.24556,                0.23415,                 0.1317,                 1.5359,                 1.1939,                0.96177,                0.00175,                0.00175,                0.00175
                     27,                 1.5585,                 1.2437,                0.97546,                   0.34,                0.25735,                0.23937,                0.13391,                 1.5155,                 1.1794,                0.95634,                0.00142,                0.00142,                0.00142
                     28,                  1.549,                 1.2282,                0.97313,                0.35868,                0.25824,                0.24586,                0.13792,                 1.5107,                 1.1594,                0.95434,                0.00109,                0.00109,                0.00109
                     29,                 1.5358,                 1.2126,                0.96988,                 0.3456,                0.26071,                0.24756,                0.13857,                 1.4996,                   1.15,                0.94935,                0.00076,                0.00076,                0.00076
                     30,                 1.5176,                 1.1887,                 0.9652,                 0.3545,                 0.2547,                0.24905,                0.14041,                 1.4877,                 1.1437,                0.94696,                0.00043,                0.00043,                0.00043
